Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	OR4F5	0	NA	NA	NA	NA	NA
2	SAMD11	0	NA	NA	NA	NA	NA
3	NOC2L	397.354147063348	-0.770066468628666	1.05098074728364	-0.732712250551666	0.463733950575972	0.696237027987342
4	KLHL17	6.94608654257301	2.17904485165823	1.76458831171066	1.23487435408987	0.216877269438248	0.467192388775476
5	PLEKHN1	3.42519227080109	-5.13717744476664	2.99466610716674	-1.71544247703358	0.0862641332289261	0.290952914105458
6	PERM1	4.78816979665666	-3.66491885460685	2.33054418758757	-1.57255926496744	0.115820906156486	0.338381309131716
7	HES4	0	NA	NA	NA	NA	NA
8	ISG15	854.538456883758	0.511229647652152	1.6314050976042	0.313367690466897	NA	NA
9	AGRN	1.252468981907	-1.4063676899637	3.38227623354049	-0.415805094810825	0.677552630441283	NA
10	RNF223	0	NA	NA	NA	NA	NA
11	C1orf159	42.4470028465065	-0.513292981372278	1.68411728034395	-0.30478458202593	0.760530224949952	0.887926547590563
12	TTLL10	0	NA	NA	NA	NA	NA
13	TNFRSF18	6.3457377806862	0.7880099383577	1.91630899934445	0.411212355954739	0.680916828890995	0.843307775138067
14	TNFRSF4	24.8840300277004	1.39996450063518	1.87195969067838	0.747860388023549	0.454544372777099	0.691032248431945
15	SDF4	35.2993666923129	0.585684963834026	0.744030713409311	0.787178477015135	0.431177394719145	0.672432082519361
16	B3GALT6	64.2765614078061	0.518071696898769	0.644582202178521	0.803732549778478	0.421551451452955	0.664934760884487
17	C1QTNF12	0.224799564242994	-1.19404679722561	3.52748910313093	-0.338497657204894	0.734988192287157	NA
18	UBE2J2	82.7181200976861	-0.492062627653307	0.768154932488278	-0.640577319551113	0.521797339136495	0.740562610895839
19	SCNN1D	0.444611921031631	-2.19018746995475	3.45814177248542	-0.633342301747399	0.52651013470943	NA
20	ACAP3	11.2634447882016	-0.15237102679461	1.27828796355024	-0.119199297137574	0.905117463483129	0.959511156112234
21	PUSL1	34.0760250572223	-1.49651513917383	1.40984942624164	-1.06147160917973	0.288475628672134	0.543031044258701
22	INTS11	610.933104102706	-0.952314179463542	1.08633800985202	-0.876627873485957	0.380688794380115	0.6314846036395
23	CPTP	16.0861304048765	-4.23572999083072	1.14690450538019	-3.69318454235788	0.000221463188297543	0.00502964305296839
24	TAS1R3	1.28504893303981	-3.72486562935212	3.40937128717129	-1.09253739637216	0.274596962527718	NA
25	DVL1	7.17412800979412	-0.318445287163217	1.58150094220359	-0.201356368918446	0.84041992900531	0.929477503894806
26	MXRA8	0.878174063255772	-3.17375816228274	3.42139713599398	-0.927620511776895	0.353604453924672	NA
27	AURKAIP1	519.79073556613	-1.19893965897188	1.21390536390642	-0.987671440147219	0.323313585998901	0.578395239532449
28	CCNL2	614.102714015424	-0.752549827868711	0.65907497621672	-1.14182734138772	0.253525795063207	0.50781586148986
29	MRPL20	1435.14053997378	-0.193827312515244	0.598575882252019	-0.323814103211123	0.746078778194429	0.880834314952318
30	ANKRD65	0.235424306312686	-1.23320640364388	3.52565284958145	-0.349781006882252	0.726503054053082	NA
31	TMEM88B	0	NA	NA	NA	NA	NA
32	VWA1	0	NA	NA	NA	NA	NA
33	ATAD3C	4.45853916087716	-2.05644873854808	1.90255197246129	-1.08088965153877	0.279746202437085	0.534042271750451
34	ATAD3B	58.1576759969936	-0.743007681445948	1.27966023857106	-0.580628872454168	0.561490608800042	0.767809405833441
35	ATAD3A	36.7876856937286	-0.39645860537775	1.12998381516147	-0.350853348568624	0.725698371729091	0.870372295014032
